model,n,rmse,mae,correlation
dfm,40,0.280226774569439,0.219939963139247,0.772277938820564
persistence,40,0.296403721153675,0.231214688922385,0.752182471765552
ar1,40,0.30095242771957,0.232543658577081,0.737274440324833
historical_mean,40,0.654985237677671,0.509217251334231,-0.0101176373385235
